fraction01	fraction02	fraction03	fraction04	fraction05	fraction06	fraction07	fraction08	fraction09	fraction10	fraction11	fraction12	fraction13	fraction14	fraction15	fraction16	fraction17	fraction18	fraction19	fraction20	fraction21	fraction22	fraction23	fraction24	fraction25	fraction26	fraction27	fraction28	fraction29	fraction30	fraction31	fraction32	fraction33	fraction34	fraction35	fraction36	fraction37	fraction38	fraction39	fraction40	fraction41	fraction42	fraction43	fraction44	fraction45	fraction46	fraction47	fraction48	fraction49	fraction50	fraction51	fraction52	fraction53	fraction54	fraction55
A0A024QZP7;P06493;P06493-2;E5RIU6;A0A087WZZ9	2319700	13200000	19927000	15182000	9125200	9587600	20062000	606520	1378900	0	475820	0	564760	1035500	2655300	8078200	7148900	6631700	6722700	5340900	5032600	8606200	7317500	10022000	12042000	30238000	63050000	33907000	23687000	20265000	0	14101000	10058000	5735900	9278800	27771000	21297000	10204000	11054000	7167300	10346000	11326000	9857500	16840000	16579000	19419000	12404000	10967000	10417000	11503000	9639600	6325500	3206500	6482500	4161500
F8WF22;A0A024R341;Q6I9Y2	0	3495900	10252000	10001000	3466500	2517000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R4E5;Q00341;Q00341-2;H0Y394	728040	1134000	1125700	5271000	2131400	2757100	7293800	7478000	17562000	17433000	15072000	9382800	3705600	3442700	5353200	3489400	3542500	2709100	3015300	5098000	2565500	2665600	1478000	4221200	2537300	3303600	2269900	1692800	1796600	2023400	1597300	4180200	6433400	2169800	5080500	3280600	4356100	1531400	1613200	406430	296280	255740	348770	274650	202190	185890	26073	96956	873960	160090	70274	36170	139420	0	0
A0A024R4M0;P46781;B5MCT8;C9JM19	21910000	114940000	201010000	481840000	491640000	189680000	603760000	293320000	442730000	440730000	438760000	220530000	42902000	20385000	12036000	3937200	3311300	1473700	2633100	10468000	3607700	4926700	4050400	2423000	3583300	27954000	4187000	26077000	19947000	40532000	56921000	184200000	4834800	5128400	6432800	7171900	6640800	7874300	5601000	8239500	9225300	11921000	7790900	20313000	19746000	21461000	31166000	37823000	28465000	42631000	4206700	4388900	38985000	33400000	31248000
A0A024RA52;P25787	2600200	10060000	22423000	14384000	27972000	49922000	73721000	81031000	114210000	199100000	321440000	586930000	470230000	228410000	306370000	188950000	176420000	124430000	195250000	347940000	323700000	578320000	1308500000	2089800000	1587500000	1481700000	854740000	275350000	114980000	146110000	92266000	276160000	285690000	274570000	488600000	1418200000	1445700000	1206700000	479010000	303140000	119390000	73242000	37777000	25508000	15730000	7171100	7103300	18150000	2952200	14871000	14763000	16827000	11872000	1724900	840530
A0A024RAC6;Q14241	0	0	3204500	12268000	1812300	1473000	1492900	200100	88871	0	0	0	863320	1651500	1544800	1750800	102500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4	245870	7219100	4324500	3834000	7777900	3808600	7309500	3320700	3901000	4588800	7608800	6480100	4570500	5891600	8007200	7221900	6756800	6512900	6508100	7302700	917240	1031400	963130	2184200	1429800	2139800	1102900	450970	532190	1709100	283180	4056500	2507400	2254000	1866500	5746900	3675200	1658300	1557400	548590	418670	423720	253570	342040	851420	356950	1644000	860120	293930	0	123460	85122	4650700	9383800	18571000
M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2	0	0	0	1055900	3632300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2409500	0	648200	0	2808900	135600	1908300	2869600	0	1744800	550870	1245700	2798400	742150	874930	1116600	2046500	478760	0	0	0	900940	2971600	0
Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;E9PIR7;Q16881-7;E2QRB9	2426300	2820800	1674400	2592300	8493400	6255400	8821900	1406500	5445900	2197300	3421200	2414800	2809500	2266000	4648000	2023300	2627500	1613600	2360000	6562600	1025200	1939500	1238000	2266200	2501200	2718900	2961000	2050800	1819900	2666200	662250	5205200	4700600	2084600	3538200	5557500	6532200	4272000	2896000	2521200	3347700	4386300	7916100	22184000	10492000	34412000	13858000	11113000	12935000	44964000	118530000	197170000	339780000	799600000	747720000
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;K7ENB4;K7EJ20	0	895190	5205000	0	4448200	681850	0	0	0	1629700	0	0	810260	0	0	0	0	1547700	0	700500	0	0	0	0	426640	1670300	0	0	0	0	0	0	0	0	0	1464100	0	1174900	0	1182700	0	0	1405900	0	0	1581800	1715300	0	1221000	2964500	0	0	5102700	3464500	848780
I3L159;I3L1F5;A0A087WT44;P30519-2;P30519	1045900	5491500	7425100	5717000	0	184300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1747500	4529000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT99;Q9H0W9-3;Q9H0W9-2;Q9H0W9;Q9H0W9-4	0	0	1134700	0	793250	0	298340	172800	161380	0	158070	0	0	0	203290	0	0	163230	169430	375180	0	340640	0	794590	0	0	312930	194440	0	319160	0	1012000	823080	247230	442860	764860	432600	910550	434920	0	498310	0	0	204650	205290	229990	139550	295870	0	0	0	0	0	0	0
A0A087WTJ2	266700	1107800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTP3;Q92945	23328000	124300000	214650000	131900000	100540000	71626000	72114000	27795000	27154000	20780000	15230000	17707000	17628000	14885000	18117000	12169000	14383000	13813000	14958000	32801000	12957000	17932000	13647000	16530000	10236000	13215000	13835000	10699000	10303000	10322000	2009000	40463000	38710000	17124000	22694000	32762000	21431000	17152000	13508000	13327000	24173000	26689000	17350000	15004000	24086000	31170000	30469000	36548000	27962000	20675000	23865000	31319000	63876000	119220000	104450000
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	11958000	13804000	20422000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087X0S7;A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345	0	0	0	299950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312690	720120	293760	288080	0	0	0	0	0	0	0
A0A087WTV6;Q96C36;J3KR12;A0A087WZR9	0	2702500	0	0	0	0	1913800	0	0	0	0	0	0	0	0	730400	964130	0	854620	3067100	407170	0	0	0	1011400	973230	0	0	0	0	2235600	14779000	28639000	13809000	34919000	76189000	57288000	33203000	20539000	13594000	4349800	9435800	7240500	5817300	4385200	0	1695800	0	0	0	0	0	0	0	0
A0A087WU06;A0A3B3ITE3;Q96CW5-3;Q96CW5-2;Q96CW5	0	287970	0	1318600	0	1117900	0	622190	1115900	1092600	1445800	0	285040	144420	0	90159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUS4;A0A087WU27;A6NKB8;Q9H4A4;C9JMZ3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503350	0	0	0	0	0	1427700	2121800	0	0	1990300	2309400	0	1991800	2032800	2439900	2539000	2483400	0
A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;P51790-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0A0MRA0;R9R4D9;A0A0A0MST1;A0A087WU46;Q13422-6;Q13422-5;Q13422-4;Q13422-3;Q13422-2;Q13422-7;Q13422	0	2320300	1484700	1674400	0	681870	963670	486520	0	0	0	0	0	0	0	0	0	0	0	0	442730	0	0	0	455580	588690	0	0	0	0	0	0	1431800	0	906290	968520	0	673380	942490	0	842120	1172900	998020	0	0	0	0	0	1660400	748020	732550	0	0	0	0
A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2	0	0	5769700	208720	0	8123100	759330	5023100	8985800	24155000	68037000	116340000	59368000	13941000	19519000	0	0	0	0	892420	0	0	0	0	0	1903400	3992300	1306900	0	0	0	198290	644780	132970	182550	0	1825000	0	0	0	5219700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140370	0	133350	0	0	0	0	477870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	625820	2981800	6366100	9076000	3900000	3339100	2817700	2298000	2111200	3336400	5842200	4200000	3203700	4613200	6569900	5669100	5850900	1846400	5345100	7138500	1988300	1439700	563790	2796700	1652200	3271700	3925800	1724700	2223800	4080400	910370	15603000	11138000	4699700	5102400	17154000	11287000	13030000	11180000	10736000	13569000	18582000	12304000	34553000	29517000	55870000	60383000	86187000	48893000	66877000	60768000	31697000	46683000	30291000	13212000
A0A087WUI6;Q8WXW3;Q8WXW3-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376710	0	40118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUK2;O14979	1098400	8464000	3244700	39491000	28318000	14322000	66379000	31669000	39507000	55583000	36369000	17190000	9168400	4130000	8982400	1581100	697680	2301000	2317700	1439800	119440	0	0	0	1647200	2481900	70381	374060	0	701860	224340	1530800	2413800	1039500	0	1816100	2337200	1133500	0	0	592360	0	552070	3815300	0	0	565960	528780	576220	471010	314610	0	0	0	1460900
A0A087WUQ6;P07203;A0A2R8Y6B6	282450	262920	0	8112800	1848300	0	0	0	0	584250	0	555180	0	3284200	1525000	5862600	6531400	3739300	3937500	2170600	1165200	0	213130	0	831800	2149800	2305500	1333900	2057800	410820	0	15584000	7389500	5984900	4900500	8235900	3886800	3501500	5870900	669840	5030400	2199300	3673200	11107000	6460900	7943500	4197400	2094700	201370	333900	0	275240	0	0	901710
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4	8695600	64460000	362030000	712880000	263520000	199620000	415470000	115080000	278210000	172080000	371200000	130260000	80396000	39777000	9366500	7454800	9992000	1969900	5051600	4481700	1656700	3497200	1071900	4335900	2347500	4196400	936450	1210800	0	1701400	1614100	6401800	5027800	3331300	4381700	6259300	44647000	4774300	3787300	2673600	3497800	5314400	2718300	3275500	3931500	957860	4472000	2707600	4622000	9259000	1416200	1428500	741650	7095400	36762000
A0A087WUT6;O60841	162400	192260	801080	19288000	14175000	485960	808950	969540	451360	741010	115880	96979	0	0	0	73658	0	0	0	0	0	0	0	0	91984	0	0	0	0	0	0	537640	137120	361280	0	285240	619120	0	232330	0	739470	424830	641650	0	5324500	10427000	5569100	0	1245500	206110	0	0	0	502850	1348500
A0A087WUV8;A0A087X2B5;P35613-3;P35613-4;P35613-2;P35613;R4GMX5;I3L192	24485000	30155000	16793000	0	280910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087X0G7;A0A087WUW6;A0A087X1B1;Q9Y6K9;Q9Y6K9-2;Q9Y6K9-3;C9JN51;A0A087WV30	188100	873590	2204200	1230100	1753600	849260	1268700	0	836360	1063700	722400	1345800	6622200	6471400	7033100	6388000	3917300	2332400	2676100	3560000	0	116590	403510	0	0	0	147460	0	0	0	381500	1927100	1240000	1024400	711500	1714500	0	73895	750940	0	868600	0	866230	0	0	0	1744200	3572600	15782000	25783000	31623000	13389000	14060000	7516200	1870600
A0A087WUX7;V9GYT8;V9GYI2;V9GY35;V9GYN4;V9GYQ8;Q9NX04-2;Q9NX04	0	0	4269500	17786000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV05;Q99417	1793500	6155200	30552000	5153200	14685000	18509000	5940800	18763000	0	12210000	0	0	20100000	10068000	11974000	22385000	19791000	12423000	13715000	21609000	0	12603000	4582300	8650700	11195000	12741000	12285000	0	0	9171000	2736600	15313000	13784000	4936500	287920	7151900	15886000	20336000	5034900	2275100	4428800	5703200	8411500	5002400	9058400	7735300	4867400	7964800	6553800	10603000	2399700	0	0	0	0
F8W7C6;A0A087WV22;H7C123;H7C2C5	833060	17359000	130540000	503290000	194640000	192840000	118310000	32338000	94317000	27966000	34957000	42785000	20965000	10639000	7165000	3652400	1587100	1037600	2256900	1617400	547470	2036400	823600	2022900	1187300	2908800	0	0	2066600	10595000	0	5455300	3844200	1989700	2978100	2953800	2126500	2971200	2276300	0	983070	1163300	3009500	8054300	1530700	0	2915600	1806100	1573000	0	1955900	1361100	0	54928000	84892000
A0A087WV46;C9JXA7;Q0VGL1	2374800	13082000	13316000	0	0	0	0	0	0	0	0	0	0	2880100	0	0	0	0	0	0	548780	2963100	0	0	0	3731800	0	0	1287100	0	0	0	2204800	0	0	2293400	5168200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	0	655110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507910	0	0	0	0	0	0	0	0	0	0	466380	484110	1437500	0	8572000	13690000	15964000	19074000
A0A087WVD7;Q9Y3D8;A0A087WY94;Q9Y3D8-2	0	0	2601100	235300	0	0	1994300	631950	796720	588500	0	0	1521400	2050400	0	1000300	0	0	187910	0	1317700	1794800	455820	0	0	0	0	0	0	0	0	0	996210	0	0	1053100	760900	405170	0	0	0	0	0	0	0	9664000	10780000	11318000	21589000	34981000	16903000	6856400	2399300	422500	0
A0A087WVF7;Q9NZM3-4;Q9NZM3-3;Q9NZM3-2;Q9NZM3	0	0	0	0	0	0	0	0	0	0	0	0	0	262060	5339000	727010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVM4;B7ZM99;Q6UB35	292680	564150	1919700	2031900	2477700	1811600	926510	152710	733150	109490	486460	685490	422090	377290	304450	157330	493820	302760	667500	642590	35323	0	0	735170	333080	270170	172420	0	218530	433840	0	941660	616870	403270	467110	1172200	893060	1937300	601210	485100	1196000	1585800	899980	2240000	3060600	3773900	4007100	6395400	1125800	1308200	710700	2532500	3884200	15321000	13381000
A0A087WVT1;Q96MX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
