F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
Q9Y3E1;A0A024R216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957070	8100700	20976000	5094200	47420	1457300	0	1702200	1001300	0	0	0	28294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R442;E7ETB3;Q9ULA0;E7EMB6;C9JBE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339840	51296000	11254000	46011000	10322000	5192100	147830	3309900	0	0	0	0	51515	0	0	0	0	0	25862	12924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R4E5;Q00341;Q00341-2;H0Y394	0	0	0	0	0	0	0	165410	89476	107390	0	16624	0	69939	56198	7708	7372.4	2236.2	1817.6	397930	1828300	11779000	38250000	138650000	218950000	12808000	46177000	5500200	7792000	2605500	375370	249680	115690	162020	74895	1382800	54910	65185	315060	149790	7347.6	618600	414060	13298	977.63	0	6487.5	215320	39039	24066	17425	6933.5	23386	0	0	6563.9	3429.3	0	3421.3	27430	12122
A0A024R4M0;P46781;B5MCT8;C9JM19	92358	0	0	0	0	0	519180	8085600	37082000	159510000	214720000	52469000	22449000	232830000	56588000	17451000	1307300	3261700	649570	7900000	7988500	6927300	6045000	11619000	26277000	1653700	31470000	4014500	10508000	2370400	4542000	2452000	2536700	0	0	1533500	47756	1104300	495970	242010	235650	2113400	3129000	49831	0	2395	0	0	57150	98817	124470	464840	259740	0	48587	110290	64886	0	131530	3676.5	0
A0A024R571;Q9H4M9;C9JC03;C9J2Z4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1682.3	0	0	0	0	0	0	0	0	0	0	1647700	126080000	138410000	52218000	9176000	20820000	1493500	187990	381110	415470	0	0	0	0	1137000	483900	0	0	0	6083.4	0	0	0	0	0	0	0	0	0	0	0	0	1658	0
A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94	0	0	0	0	0	0	0	20524	142300	0	509330	51493	71871	174640	88156	14387	0	17817	0	0	0	0	0	0	0	0	0	0	846920	2050900	13693000	16295000	62727000	14805000	592070	1676500	0	834220	185930	306200	115100	209510	93618	12509	14069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7573800	9645500	11957000	13639000	0	0	0	0	0	0	0	0	0	0	0	3908100	45541000	27127000	6546300	0	14719000	10886000	1591700	138120	0	0	0	498320	429220	785060	0	627950	0	0	208190	0	0	0	0	0
A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739	0	0	0	0	0	0	0	0	0	0	234270	61591	0	296170	193180	23955	0	34327	0	282460	690730	383260	370300	2422600	8336700	761700	11169000	6938500	8702200	3277400	5165000	944320	703160	1417800	0	0	0	0	0	0	0	0	48898	0	0	0	0	0	0	0	0	0	0	0	137330	0	0	0	0	0	0
A0A024RA52;P25787;C9JCK5	0	0	0	59759	0	0	0	109950	0	2293900	3178700	592650	1527600	95049000	44116000	37244000	9283000	4829500	3987100	43012000	251990000	97042000	38178000	30279000	78541000	6600800	22460000	3973000	11499000	15147	0	0	0	948070	284290	0	0	730020	1025100	473110	485780	419900	8527.2	0	547480	57395	21388	46209	0	71752	4272.7	0	0	0	0	0	86094	85063	28329	0	0
A0A024RAC6;Q14241	0	0	0	0	0	0	2258	13588	173220	157140	434690	119990	19338	90487	11318	7333	0	5450.7	0	13999	0	7744.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5431	4029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
