F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70
A0A024QZX5;A0A087X1N8;A0A2R8YD12;A0A2R8Y6A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R161;Q9H1X3-3;P50151	0	0	0	0	0	0	0	0	0	0	0	0	0	824370	1247800	448310	0	1345000	0	0	0	391640	626920	1147200	1130600	4801700	445090	335130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6I9Y2;A0A024R341;F8WF22	0	0	0	0	0	0	607210	1926600	699490	589630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024R4E5;Q00341;Q00341-2;H0Y394	0	0	0	0	0	0	9319.9	141050	159250	183730	50246	292800	358730	269370	340960	185870	349000	666440	612760	749490	8813300	27281000	77034000	62692000	65345000	38498000	5170500	1532700	3590600	1532400	165150	0	0	0	22581	37039	47645	94492	108340	21406	32416	219650	0	13798	15502	0	12259	0	17951	0	798.17	8120.2	0	0	0	0	2476.5	0	0	0	783.23
A0A024R4M0;P46781;B5MCT8;C9JM19	0	0	0	0	0	361300	32500000	418620000	635690000	5.83e+08	122080000	346570000	691580000	448530000	398370000	68138000	74894000	77177000	46094000	12440000	14145000	13341000	11201000	5603500	7251400	13701000	6820900	2028200	4166100	2889900	2514400	2262200	6535800	2171700	3485600	1286900	621760	1286200	605110	104000	86334	2538300	40778	22744	0	83217	70082	0	0	0	0	0	165710	43448	0	9745.2	40645	0	24456	0	0
A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2181900	5172000	3652700	1877200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024RA52;P25787;C9JCK5	0	0	0	0	0	0	325770	1848800	2221600	6236200	10942000	17705000	78851000	131700000	189520000	45961000	27659000	26634000	29594000	58102000	224560000	147850000	53951000	12974000	22684000	30082000	8762400	3304100	3746800	547620	718060	1449600	0	0	435680	250740	0	403040	61119	31905	0	246640	65847	0	0	0	10319	8076	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A024RAC6;Q14241	0	0	0	0	0	0	135610	1081500	3754900	2686000	309940	915190	2317400	470860	320430	34377	54486	88380	0	11571	0	0	0	0	0	0	0	0	0	0	0	372360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK3;A0A0G2JLK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880420	0	0	5569900	4494400	3705600	1594200	1696700	0	1398000	223020	0	485170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2	0	0	0	0	0	0	420590	6629700	7079900	9956700	5730300	9074000	37422000	39067000	52557000	18752000	24058000	33325000	20966000	7083300	6313800	4214400	2484700	968220	762430	1292500	107290	9920.4	0	0	0	0	0	0	0	0	0	9921.2	0	0	0	34337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51407	50565	39145	0	163200	221600	312260	487290	550840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P11532;P11532-4;A0A087WTU7;E9PDN5;A0A087WV90;A0A075B6G3;P11532-2;P11532-3;H0Y304;P11532-5;P11532-6;E7EQR9;F8VX32;E7EQS5;E7ESB2;P11532-7;P11532-8	0	0	0	0	0	0	0	0	0	0	0	0	165580	119220	69672	0	0	0	0	0	0	0	0	0	0	74297	55841	20462	95682	88696	0	64622	0	0	0	0	0	0	0	0	7831.3	0	1333.4	3012.8	0	0	0	0	0	0	2030.5	1242.3	0	3886.5	0	0	0	0	0	0	8739
A0A075B6Q3;Q5H9F3-2;Q5H9F3;Q5H9F3-3;H7C4B2	0	0	0	0	0	0	0	44610	117930	38181	0	29148	0	192540	164670	15513	72575	0	103290	76138	22007	0	12381	0	0	0	0	0	52464	0	0	9467.1	0	0	0	0	0	0	0	9443.3	3462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9NRI5;Q9NRI5-11;Q5T409;C4P0B0;C4P0B1;A0A075B6Q7;Q9NRI5-7;C4P093;Q9NRI5-6;Q9NRI5-9;Q9NRI5-3;Q9NRI5-8;Q9NRI5-5;Q9NRI5-2;Q9NRI5-4;C4P092;C4P0A0;Q9NRI5-10;A0A087WYX6;H0Y7U2	0	0	0	0	0	0	0	21988	12797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75703	0	0	0	0	0	0	0	0	0	0	0
A0A075B6T1;Q9C0C7-4;Q9C0C7-2;Q9C0C7-3;Q9C0C7;Q9C0C7-5;H0YE34	0	0	0	0	0	0	0	13545	5737.8	0	0	7371.9	13441	23213	44439	0	37373	0	116850	0	33862	37278	23449	6678.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9PN20;A0A075B7G4;Q8IYB9;K7ERG6;E5RGH0;K7EJG2;A0A2R8Y4V3;D6RB60;B4E159;D6RGC2;D6RIY0;A0A087WTY0;Q15928;Q3SXZ3;Q8TB69;B4DXR9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1545400	974560	657280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WSV0;Q9HB09;Q9HB09-3;I6LJZ7	0	0	0	0	0	0	0	0	0	0	0	177330	0	0	0	0	0	0	0	0	393420	90445	0	0	0	0	0	0	0	0	1207600	7965700	8918400	2736700	9082800	3547600	227570	701220	294740	149390	26554	387790	0	0	0	21207	50511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WSV8;P80303-2;P80303;E9PKG6;Q2L696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391420	13076	51663	15761000	18279000	14665000	26755000	4173000	0	149910	114770	62387	0	45612	233400	0	232570	11236	0	99189	0	4374.9	3754.5	0	9631.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;E9PIR7;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;Q16881-7;E2QRB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239100	0	0	0	0	148590	0	0	0	215940	76730	9885100	51850000	58321000	31389000	14682000	1165900	1341900	603490	258470	541150	253570	0	0	663580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT00;O60449-3;O60449-2;Q8IX05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V9GYI0;V9GYH6;A0A087WT04;U3KQ54;Q6P1K2-3;Q6P1K2-6;Q6P1K2;Q6P1K2-2;Q6P1K2-5	0	0	0	0	0	0	0	1378700	653640	971640	328350	0	1173000	1164700	0	0	0	0	0	0	0	0	1203400	1269100	0	1634700	0	0	3254000	6334700	4690200	2658300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;K7EKX7;K7ENB4;K7EJ20;R4GNE4	0	0	0	0	0	0	324790	0	0	0	0	0	0	303820	0	0	0	0	0	0	0	0	0	0	211620	0	0	0	0	0	0	5297600	11028000	17288000	27451000	25227000	11742000	12426000	4136200	219760	0	1826800	0	0	25167	6202.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT20;Q9NV06;A0A087X1F8;B3KME9	0	0	0	0	0	0	115490	126570	265620	71265	0	0	0	224100	428240	133310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714840	0	530600	0	134770	0	0	113860	52384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV67;A0A087WT23;O00124-3;O00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176360	0	0	0	0	0	61349	77252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT64;Q07820	0	0	0	0	0	0	0	0	288590	0	347430	0	0	0	0	0	0	0	0	71345	0	1074500	523650	461170	3437200	4315100	471440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66;A0A1B0GW62;A0A0D9SGI7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63340	10663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WT84;Q9H9V9-2;Q9H9V9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3081900	1037600	712690	0	0	128680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087X0U3;A0A087WT87;P43003-2;P43003	0	0	0	0	0	0	0	2540500	1482500	1642500	852880	793970	1125800	593960	554840	357840	748580	488720	1302400	775090	786510	1528100	1163800	572720	812360	641660	249390	66503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTA5;Q9UI10-3;Q9UI10-2	0	0	0	0	0	0	952440	10176000	13637000	11693000	4136900	3144700	4056400	1277800	7530100	774740	2047500	1725600	1821100	542070	309880	242910	117440	0	0	0	0	0	0	0	731550	0	0	0	0	0	0	0	0	33469	0	215410	0	0	45961	0	35402	0	0	0	0	4440.8	0	0	0	0	0	0	0	0	0
D6RCT6;A0A087WTC6;D6R9E3;Q9BWT6;D6RIA0	0	0	0	0	0	0	0	0	0	0	0	35348000	0	0	714480	0	0	517860	0	0	0	0	0	0	0	0	2572000	2019000	0	0	5945600	0	0	0	0	0	0	0	0	91415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P13591;P13591-1;A0A087WWD4;A0A087WX77;A0A087WTF6;A0A087WV75;A0A087WWJ5;A0A087WTE4;H7BYX6;A0A0D9SF98;P13591-4;P13591-3;A0A087WVU1;A0A087X1V2;P13591-5	0	0	0	0	0	0	197720	465720	0	248350	0	78502	623710	232540	291100	72501	0	292940	0	35572	0	0	0	0	0	0	5821.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18597	0	0	0	0	0	0
A0A087WTM1;Q9Y6N7-5;Q9Y6N7-4;Q9Y6N7-3;Q9Y6N7;Q9Y6N7-2;Q9Y6N7-6;A0A087WZ85;A0A0A0MSX4	0	0	0	0	0	0	0	166040	71259	214880	86766	112320	54324	101140	354990	158690	182900	192070	108230	47924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1429800	0	0	0	0	0	0	1487600	4156500	1395900	1034200	9491000	9369600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345;A0A0C4DH00;A0A087X0S7	0	0	0	0	0	0	0	0	0	0	0	0	76510	0	65684	6491.1	0	33751	0	0	14777	0	0	42636	25804	113270	351550	2069100	7324800	4273300	4731100	4866100	3715800	0	1091400	26835	0	418430	263620	0	0	24121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVR3;A0A087WTW0;Q96T88;Q96T88-2;A0A087WWG9	0	0	0	0	0	0	0	0	0	0	0	133010	174880	170320	0	0	0	0	0	0	0	0	0	0	67136	0	0	0	1424500	1203400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43896	0	0	0	0	0	0	0	0	0	0	0
F8W0R1;F8VR88;F8VUZ2;F8VPA6;A0A087WU02;Q96RQ1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	444700	0	0	0	1325700	654240	830980	636950	1207600	0	0	1009400	0	0	2181400	344660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WU07;Q5TGZ0;R4GNA1;Q5TGZ0-2	0	0	0	0	0	0	4969000	1556900	0	0	0	1192100	0	0	8650300	1416400	659090	5603000	0	0	1444800	0	3581000	3387600	7983500	14818000	3383500	9119700	20436000	40055000	0	2108200	4723800	0	0	0	0	0	220450	0	325190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WU53;Q9H0U3	0	0	0	0	0	0	2011400	10859000	5529300	5102200	463450	976280	3416700	1865100	0	0	146340	525850	257170	0	0	0	0	0	967240	5140600	0	0	0	0	0	0	0	94844	95682	0	0	37386	0	34187	0	701900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	0	0	0	0	0	0	0	69039	0	0	41844	34780	0	0	0	41243	683960	1386100	1467100	855790	664350	223130	237920	41125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	0	0	0	0	0	0	0	400770	0	0	0	0	882200	0	0	0	0	0	0	0	0	83532	0	125920	227680	0	192500	1749800	33742000	27362000	3502000	1678500	633500	231470	0	0	0	122340	9329.6	0	0	108370	0	0	0	0	0	0	0	0	0	3375.3	0	0	0	0	0	0	0	0	0
E9PL01;A0A087WUC6;E9PI68;Q15005;E9PRB9	0	0	0	0	0	0	0	2125600	1869600	1040900	338580	0	331250	0	617560	0	0	199170	0	162280	0	0	1054200	203160	727650	30020000	16091000	16008000	65608000	30446000	8764000	4379400	0	0	0	0	0	0	18463	0	73063	132050	0	0	0	0	0	16239	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUD7;Q8WU76-2;Q8WU76	0	0	0	0	0	0	293260	432480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0G2JNN3;C9JMY0;A0A087WUE4;Q96PV6-1;Q96PV6;E7EWC7	0	0	0	0	0	0	0	254740	313490	0	0	0	0	0	0	0	0	0	0	0	0	648570	1831000	1173800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUI6;Q8WXW3	0	0	0	0	0	0	0	0	0	0	0	0	0	48313	1229800	402280	86094	79013	24290	0	0	0	0	0	0	0	0	0	0	0	246780	0	0	0	0	0	0	20457	24238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUK2;O14979	0	0	0	0	0	0	245820	572950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUM0;P57105;A0A087X1F5;A0A087WYV9	0	0	0	0	0	0	746820	1877800	0	562120	1577300	1720100	4642200	3235700	2714700	1463600	2130300	3847700	1895400	1850900	1159200	2745500	2659700	4101100	11949000	17104000	7109300	4498500	19820000	13296000	1386300	848030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WUQ6;P07203;A0A2R8Y6B6	0	0	0	0	0	0	0	0	0	405440	96923	179020	0	0	7519600	0	3257200	378310	228100	0	237230	446000	1518200	799750	7919900	19963000	6751700	8413800	41473000	30542000	20300000	13698000	7331200	4596800	1262700	972800	182450	0	140450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7ETK0;A0A2R8Y849;A0A087WUS0;A0A2R8YD14;P62847-2;P62847-3;P62847;P62847-4;A0A2R8Y8A0	0	0	0	0	0	194200	39170000	441920000	639320000	558670000	241160000	293410000	748310000	354550000	196130000	39885000	34686000	33700000	18561000	6922600	6550100	6359800	2019700	2194600	3320700	4548900	3698900	0	3061100	3182500	1489900	3888900	1795000	308830	1622300	439860	0	701930	313480	149560	0	1207500	164600	0	0	0	0	67059	0	0	0	0	896750	0	0	0	0	0	0	0	0
A0A087WUT6;O60841	0	0	0	0	0	0	137400	19987000	40692000	35784000	11551000	10526000	18495000	8931100	5508000	1128000	1455900	1694700	1038200	321660	1320100	5602100	3527800	1358100	1668200	2773800	656010	266250	953280	721030	113750	2727800	0	50946	9463.2	194410	17205	14260	65252	14010	5763.4	66453	1827.7	12143	75010	46698	1413.9	0	0	0	0	0	0	0	0	1219.5	0	719.12	0	0	0
A0A087WUW6;Q9Y6K9;Q9Y6K9-2;A0A087X0G7;A0A087X1B1;C9JN51;C9J2V2;Q9Y6K9-3	0	0	0	0	0	0	0	321570	0	0	0	0	1642200	7570600	13308000	5236900	6720500	6780200	1767400	362100	95530	0	0	0	64230	0	0	0	1402600	253030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A0B4J222;A0A087WUW9;Q9NXU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272250	0	0	0	377550	0	0	0	0	0	0	0	0	0	0	0	4851000	3412800	1587200	1561800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99417;A0A087WV05	0	0	0	0	0	11029	808500	7808000	4113300	5995900	0	2327900	4846900	3485200	586230	114480	307630	314820	895800	924650	581810	0	1397800	2731100	6185200	40021000	25311000	21645000	69361000	34036000	13263000	2667800	5277800	3285900	0	2427000	0	693520	0	0	0	776060	0	90148	5238.6	0	49107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV25;O95684-2;O95684	0	0	0	0	0	0	203230	2011500	529570	1325700	53515	77756	339740	560770	386790	0	56095	0	0	0	208840	1244000	4496600	2361200	777670	327100	7622.2	0	409140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV34;Q8WWB7-2;Q8WWB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1515900	0	940630	3010400	5262100	1678100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WV97;Q8WU79-2;Q8WU79;Q8WU79-3;X6RCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250390	295190	0	1036100	26569000	13521000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVD4;Q9HBK9;Q9HBK9-2	0	0	0	0	0	0	0	0	0	0	0	157920	0	0	548350	124420	0	0	0	0	0	0	0	0	0	0	0	0	492830	26681000	0	0	5872600	11239000	4826900	1639600	180070	221190	192250	0	0	236860	0	0	0	42686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVD7;Q9Y3D8;Q9Y3D8-2;D6RDH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1599400	36945000	76808000	50685000	19520000	4166600	4344600	1183200	332760	0	1072100	40390	0	0	376390	0	0	0	0	0	0	0	0	10409	0	0	0	0	0	0
A0A087WVF7;Q9NZM3-2;Q9NZM3;Q9NZM3-4;Q9NZM3-3	0	0	0	0	0	0	0	127590	97498	107790	63019	0	0	0	881900	1475100	4204700	885210	889330	219950	0	0	0	20874	145530	132240	0	0	70670	0	130270	0	178500	207400	0	0	0	0	0	0	0	0	0	0	19907	21513	0	0	0	0	0	7109.8	0	0	0	0	0	0	0	0	0
B3KPU0;A0A087WVI1;Q96JY6;Q96JY6-5;E5RGS7;Q96JY6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294280	0	0	1388300	6284600	491280	0	0	194230	0	0	98375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVM4;B7ZM99;Q6UB35	0	0	0	0	0	0	1622600	0	307900	310200	58723	394890	457530	425040	575440	126940	100470	397350	0	107820	102920	27121	165110	250840	1776200	15818000	17025000	30672000	118110000	77783000	27241000	9250200	6535500	1408000	1516400	1142000	215750	1129300	575920	109130	44048	1031300	7832.4	16655	12737	7788.4	16764	4542.4	0	0	0	47498	27371	0	0	0	60052	0	0	0	0
A0A087WVQ6;Q00610-2;Q00610	0	0	0	0	0	66440	37590000	85389000	21239000	88951000	100900000	78807000	110960000	44760000	30937000	6830200	6426900	6631100	5423800	1882100	2099900	1942500	828630	503250	510160	1062400	529560	255330	334750	243890	265150	0	1402800	89780	295120	110420	92488	103260	74110	22973	28311	129000	6067.5	16468	4142.2	6442.8	64916	0	11927	0	0	401.52	43600	1388.2	9539.1	0	8092.6	0	0	0	0
A0A087WVS8;Q70IA6-2;Q70IA6;Q70IA6-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1489500	2431000	1490600	0	0	0	0	0	0	47110	0	29120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WVT6;Q9BWW4-2;Q9BWW4-3;Q9BWW4;D6RAC5;P81877-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	624590	3721200	3305300	3767800	1771400	777930	200380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5TI65;A0A087WVZ0;Q9Y5U8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9466700	0	5625800	0	1741300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9ULU4-19;A0A087WYS3;H7C4X9;A0A087WVZ6;Q9ULU4-17;Q9ULU4-7;Q9ULU4-11;Q9ULU4-10;Q9ULU4-13;Q9ULU4;Q9ULU4-20;Q9ULU4-5;Q9ULU4-9;Q9ULU4-16;Q9ULU4-22;Q9ULU4-12;Q9ULU4-14;Q9ULU4-18;Q9ULU4-21;Q9ULU4-8;Q9ULU4-15;Q9ULU4-2;Q9ULU4-23;Q9ULU4-4	0	0	0	0	0	0	0	3800.5	217680	101960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q96AY4;A0A087WW06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66526	0	0	31654	61571	158670	928530	933230	177920	17570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A087WW40;Q9Y371;Q9Y371-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143890	83688	126810	137630	0	0	0	0	0	118050	3300900	34257000	31583000	21630000	42724000	12856000	1950000	917770	0	0	0	0	0	96771	0	21783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
