A0A0G2JPB7	GO:0009897;GO:0009897
A1BG	GO:0005576;GO:0005615;GO:0031093;GO:0034774;GO:0062023;GO:0070062;GO:0072562;GO:1904813;GO:0005886
A1CF	GO:0005634;GO:0005634;GO:0005634;GO:0005654;GO:0005654;GO:0005654;GO:0005737;GO:0005737;GO:0005737;GO:0005783;GO:0005783;GO:0005783;GO:0045293;GO:0045293;GO:0045293;GO:0030895;GO:0030895;GO:0030895
A2M	GO:0062023;GO:0062023;GO:0062023;GO:0005576;GO:0005576;GO:0005576;GO:0031093;GO:0031093;GO:0031093;GO:0070062;GO:0070062;GO:0070062;GO:0072562;GO:0072562;GO:0072562;GO:0005615;GO:0005615;GO:0005615
A2ML1	GO:0005615;GO:0005615;GO:0070062;GO:0070062
A3GALT2	GO:0032580;GO:0032580;GO:0032580;GO:0005794;GO:0005794;GO:0005794;GO:0031982;GO:0031982;GO:0031982
A4GALT	GO:0000139;GO:0000139;GO:0000139;GO:0016020;GO:0016020;GO:0016020
A4GNT	GO:0000139;GO:0016020
AAAS	GO:0000922;GO:0000922;GO:0000922;GO:0005634;GO:0005634;GO:0005634;GO:0005635;GO:0005635;GO:0005635;GO:0005643;GO:0005643;GO:0005643;GO:0005654;GO:0005654;GO:0005654;GO:0005813;GO:0005813;GO:0005813;GO:0005829;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0016020;GO:0031965;GO:0031965;GO:0031965;GO:0072686;GO:0072686;GO:0072686
AACS	GO:0005829;GO:0005829
AADAC	GO:0005789;GO:0005789
AADACL2	GO:0005576;GO:0016020
AADACL3	GO:0016020
AADACL4	GO:0016020
AADAT	GO:0005759;GO:0005759;GO:0005759
AAGAB	GO:0005737;GO:0005829;GO:0016607
AAK1	GO:0005829;GO:0005829;GO:0005905;GO:0005905;GO:0019897;GO:0019897;GO:0030136;GO:0030136;GO:0031252;GO:0031252;GO:0043195;GO:0043195
AAMDC	GO:0005737;GO:0005737;GO:0005737
AAMP	GO:0005829;GO:0005886;GO:0009986;GO:0015630;GO:0045171
AANAT	GO:0005829;GO:0005829;GO:0048471;GO:0048471;GO:0005737;GO:0005737
AAR2	GO:0005681;GO:0005681;GO:0005681;GO:0005681;GO:0005682;GO:0005682;GO:0005682;GO:0005682
AARS1	GO:0005737;GO:0005737;GO:0005829;GO:0005829;GO:0016020;GO:0016020;GO:0070062;GO:0070062;GO:0005739;GO:0005739
AARS2	GO:0005739;GO:0005739;GO:0005739
AARSD1	GO:0005634;GO:0005737
