A0A0G2JPB7	GO:0005102;GO:0005102
A0A2R8Y5M8	GO:0016206;GO:0016206
A1BG	GO:0003674
A1CF	GO:0003725;GO:0003725;GO:0003725;GO:0003727;GO:0003727;GO:0003727;GO:0005515;GO:0005515;GO:0005515;GO:0003729;GO:0003729;GO:0003729
A2M	GO:0002020;GO:0002020;GO:0002020;GO:0004867;GO:0004867;GO:0004867;GO:0005102;GO:0005102;GO:0005102;GO:0005515;GO:0005515;GO:0005515;GO:0019838;GO:0019838;GO:0019838;GO:0019899;GO:0019899;GO:0019899;GO:0019959;GO:0019959;GO:0019959;GO:0019966;GO:0019966;GO:0019966;GO:0042802;GO:0042802;GO:0042802;GO:0043120;GO:0043120;GO:0043120;GO:0048306;GO:0048306;GO:0048306;GO:0048403;GO:0048403;GO:0048403;GO:0048406;GO:0048406;GO:0048406;GO:0004866;GO:0004866;GO:0004866
A2ML1	GO:0004867;GO:0004867;GO:0030414;GO:0030414
A3GALT2	GO:0001962;GO:0001962;GO:0001962;GO:0046872;GO:0046872;GO:0046872;GO:0047276;GO:0047276;GO:0047276;GO:0016757;GO:0016757;GO:0016757
A4GALT	GO:0008378;GO:0008378;GO:0008378;GO:0015643;GO:0015643;GO:0015643;GO:0050512;GO:0050512;GO:0050512;GO:0008375;GO:0008375;GO:0008375
A4GNT	GO:0008375
AAAS	GO:0003674;GO:0003674;GO:0003674;GO:0005515;GO:0005515;GO:0005515
AACS	GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0030729;GO:0030729
AADAC	GO:0003824;GO:0003824;GO:0004806;GO:0004806;GO:0005515;GO:0005515;GO:0016298;GO:0016298;GO:0017171;GO:0017171;GO:0019213;GO:0019213
AADACL2	GO:0016787
AADACL3	GO:0016787
AADACL4	GO:0016787
AADAT	GO:0016212;GO:0016212;GO:0016212;GO:0030170;GO:0030170;GO:0030170;GO:0042803;GO:0042803;GO:0042803;GO:0047315;GO:0047315;GO:0047315;GO:0047536;GO:0047536;GO:0047536;GO:0047958;GO:0047958;GO:0047958;GO:0050094;GO:0050094;GO:0050094
AAGAB	GO:0005515
AAK1	GO:0004674;GO:0004674;GO:0005112;GO:0005112;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0035612;GO:0035612;GO:0106310;GO:0106310
AAMDC	GO:0005515;GO:0005515;GO:0005515
AAMP	GO:0005515;GO:0008201
AANAT	GO:0004059;GO:0004059;GO:0004060;GO:0004060;GO:0005515;GO:0005515;GO:0071889;GO:0071889
AARD	GO:0005515;GO:0005515
AARS1	GO:0002161;GO:0002161;GO:0002196;GO:0002196;GO:0004813;GO:0004813;GO:0008270;GO:0008270;GO:0045182;GO:0045182;GO:0016597;GO:0016597;GO:0005524;GO:0005524;GO:0000049;GO:0000049
AARS2	GO:0004813;GO:0004813;GO:0004813;GO:0005515;GO:0005515;GO:0005515;GO:0008270;GO:0008270;GO:0008270;GO:0016597;GO:0016597;GO:0016597;GO:0000049;GO:0000049;GO:0000049;GO:0002161;GO:0002161;GO:0002161;GO:0005524;GO:0005524;GO:0005524
AARSD1	GO:0003674;GO:0003676;GO:0004813;GO:0005524;GO:0046872;GO:0002196
AASDH	GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0016878;GO:0016878;GO:0016878;GO:0016878
AASDHPPT	GO:0000287;GO:0000287;GO:0000287;GO:0000287;GO:0000287;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0008897;GO:0008897;GO:0008897;GO:0008897;GO:0008897
AASS	GO:0003714;GO:0004754;GO:0042393;GO:0047130;GO:0047131;GO:0004753
AATF	GO:0003723;GO:0003723;GO:0003723;GO:0003723;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0019901;GO:0019901;GO:0019901;GO:0019901;GO:0043522;GO:0043522;GO:0043522;GO:0043522;GO:0048156;GO:0048156;GO:0048156;GO:0048156
AATK	GO:0004674;GO:0004674;GO:0004674;GO:0004674;GO:0004674;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0005524;GO:0106310;GO:0106310;GO:0106310;GO:0106310;GO:0106310;GO:0004713;GO:0004713;GO:0004713;GO:0004713;GO:0004713
ABAT	GO:0003867;GO:0003867;GO:0030170;GO:0030170;GO:0032145;GO:0032145;GO:0034386;GO:0034386;GO:0042802;GO:0042802;GO:0046872;GO:0046872;GO:0047298;GO:0047298;GO:0051536;GO:0051536
ABCA1	GO:0005102;GO:0005102;GO:0005102;GO:0005515;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0005524;GO:0005548;GO:0005548;GO:0005548;GO:0008320;GO:0008320;GO:0008320;GO:0015485;GO:0015485;GO:0015485;GO:0016887;GO:0016887;GO:0016887;GO:0019905;GO:0019905;GO:0019905;GO:0031210;GO:0031210;GO:0031210;GO:0031267;GO:0031267;GO:0031267;GO:0034185;GO:0034185;GO:0034185;GO:0034186;GO:0034186;GO:0034186;GO:0034188;GO:0034188;GO:0034188;GO:0046623;GO:0046623;GO:0046623;GO:0051117;GO:0051117;GO:0051117;GO:0090554;GO:0090554;GO:0090554;GO:0090556;GO:0090556;GO:0090556;GO:0120020;GO:0120020;GO:0120020;GO:0140328;GO:0140328;GO:0140328;GO:0140359;GO:0140359;GO:0140359;GO:0042626;GO:0042626;GO:0042626
ABCA10	GO:0005524;GO:0016887;GO:0140359;GO:0042626;GO:0005319
ABCA12	GO:0005102;GO:0005102;GO:0005319;GO:0005319;GO:0005515;GO:0005515;GO:0005524;GO:0005524;GO:0016887;GO:0016887;GO:0034040;GO:0034040;GO:0034191;GO:0034191;GO:0140326;GO:0140326;GO:0140359;GO:0140359;GO:0042626;GO:0042626
ABCA13	GO:0005524;GO:0140359;GO:0042626;GO:0005319
