101F10.2	GO:0006893;GO:0015031;GO:0032456
101F6	GO:0055085;GO:0140576
12LO	GO:0043651;GO:1901751;GO:0006629;GO:0010656;GO:0019369;GO:0019372;GO:0019395;GO:0033559;GO:0042554;GO:0051122;GO:0061436;GO:0090331;GO:2001303;GO:2001306;GO:0034440
15E1.1	GO:0006915;GO:0006977;GO:0015914;GO:0030330;GO:0034644;GO:0043066;GO:0043154;GO:0045944;GO:0090201;GO:0097035;GO:0120009;GO:1902166;GO:2001140;GO:0045332
15E1.2	GO:0006450;GO:0032543;GO:0070681
17HSD7	GO:0006695;GO:0006703;GO:0008209
199G4	GO:0000398;GO:0033120;GO:0042307;GO:0045292;GO:0046827;GO:0071466
1A13B	GO:0016236;GO:0030500;GO:0032872;GO:0045668
1C7	GO:0002429;GO:0006954;GO:0006955;GO:0008037;GO:0030101;GO:0045954
1R20	GO:0006955;GO:0007165;GO:0007186;GO:0007193;GO:0009617;GO:0009968;GO:0043547;GO:0061737
1R21	GO:0000122;GO:0001656;GO:0006275;GO:0007417;GO:0007507;GO:0007517;GO:0009611;GO:0010628;GO:0010629;GO:0030182;GO:0030855;GO:0030903;GO:0042476;GO:0043065;GO:0043433;GO:0045662;GO:0045668;GO:0045892;GO:0051726;GO:0072750;GO:0032922;GO:0030154
2-19	GO:0019732;GO:0061844;GO:1905035
2.19	GO:0019732;GO:0061844;GO:1905035
2B4	GO:0002250;GO:0002323;GO:0007165;GO:0032729;GO:0032757;GO:0045087;GO:0060732;GO:0071663
2DD	GO:0042843
3'EXO	GO:0071044;GO:0031047;GO:0031125;GO:0000467
3BH	GO:0006694;GO:0006702;GO:0006703;GO:0021766;GO:0008207;GO:0051412
3BP2	GO:0007165
3OST	GO:0006024;GO:0015015
3OST1	GO:0006024;GO:0015015
3OST2	GO:0006024;GO:0015015
3OST3A1	GO:0001658;GO:0006024;GO:0015015
3OST3B1	GO:0001658;GO:0006024;GO:0006477;GO:0015012;GO:0015015
3OST4	GO:0015012;GO:0030201
3OST5	GO:0006477;GO:0015015;GO:0046596;GO:0050819
44M2.3	GO:0090305
4P11	GO:1901661
4SPAN2	GO:0007166
4SPAN3	GO:0007166
4SPAN4	GO:0007166
54TM	GO:0015031;GO:0006888
582J2.1	GO:0002532;GO:0002639;GO:0006955;GO:0007165;GO:0030728;GO:0032722;GO:0035771;GO:0042127;GO:0042832;GO:0043032;GO:0043306;GO:0043627;GO:0045063;GO:0045064;GO:0045626;GO:0045630;GO:0120162;GO:1901741;GO:1990834;GO:0019221
5HT3R	GO:0007210;GO:0060079;GO:0098662;GO:0034220;GO:0042391;GO:0007268;GO:0050877;GO:0007165
5MP1	GO:0006446
5MP2	GO:0006446
5PTASE	GO:0046855;GO:0043647;GO:0046856;GO:1901215;GO:0048016
5T4	GO:0007155;GO:0008285;GO:0008355;GO:0050921;GO:0051897;GO:0051932;GO:0051965;GO:0060326;GO:0070374;GO:0072659;GO:0090497;GO:0140059;GO:0090090
76P	GO:0007020;GO:0065003;GO:0031122;GO:0051321;GO:0051225;GO:0000278
8D6A	GO:0006897;GO:0007165;GO:0015889;GO:0030656;GO:0030890;GO:0031296;GO:0021517
9804	GO:0007166;GO:0046597;GO:2000272
99D8.1	GO:0051131;GO:0006457;GO:0007339;GO:0032212;GO:0050821;GO:0051086;GO:0051973;GO:0061077;GO:0090666;GO:1901998;GO:1904851;GO:1904871;GO:1904874
A-152E5.1	GO:0006935;GO:0006955;GO:0007165;GO:0007267;GO:0009615;GO:0048245;GO:0070374;GO:0002548;GO:0007186;GO:0048247;GO:0030593;GO:0070098;GO:0006954;GO:0071346;GO:0071347;GO:0043547;GO:0071356
A-152E5.2	GO:0001774;GO:0001954;GO:0002052;GO:0002523;GO:0002931;GO:0006935;GO:0006952;GO:0006955;GO:0007155;GO:0007186;GO:0007267;GO:0007568;GO:0008284;GO:0010812;GO:0010976;GO:0016322;GO:0019221;GO:0030336;GO:0030595;GO:0031664;GO:0032233;GO:0032690;GO:0032691;GO:0032715;GO:0032720;GO:0032914;GO:0033622;GO:0035425;GO:0043066;GO:0043123;GO:0043410;GO:0045944;GO:0048167;GO:0048661;GO:0050729;GO:0050767;GO:0050902;GO:0050918;GO:0051041;GO:0051092;GO:0051281;GO:0051897;GO:0060055;GO:0060326;GO:0061518;GO:0070050;GO:0070098;GO:0070374;GO:0097192;GO:0098609;GO:0098883;GO:0110091;GO:1900450;GO:1903721;GO:1903979;GO:1904141;GO:2001223;GO:2001234;GO:2001240;GO:0071356;GO:0071347;GO:0071346;GO:0048247;GO:0006954;GO:0043547;GO:0030593;GO:0002548;GO:0048245
A-152E5.7	GO:0006366
A14GALT	GO:0007009;GO:0001576;GO:0006688;GO:0006493
A18HNRNP	GO:0009409;GO:0009411;GO:0017148;GO:0034063;GO:0045727;GO:0048255;GO:0048026
A1BG	GO:0008150
A1CF	GO:0006397;GO:0007566;GO:0010609;GO:0016554;GO:0016556;GO:0050821;GO:1901537;GO:2000623
A1S9T	GO:0006974;GO:0016567;GO:0006511
A26C1A	GO:0001895;GO:0021762;GO:0048870
A26C1B	GO:0001895;GO:0048870
A2BP	GO:0006397;GO:0008380;GO:0050658;GO:0050885;GO:2001014;GO:0007399;GO:0000381
A2BP1	GO:0006397;GO:0008380;GO:0050658;GO:0050885;GO:2001014;GO:0007399;GO:0000381
A2D	GO:0016071;GO:0034063
A2LD1	GO:0042219
A2LG	GO:0016071;GO:0034063
A2LP	GO:0016071;GO:0034063
A2M	GO:0001553;GO:0001869;GO:0002438;GO:0006953;GO:0007584;GO:0010037;GO:0010951;GO:0034695;GO:0048863;GO:0051384;GO:1990402
A2ML1	GO:0010466;GO:0052548
