101F10.2	GO:0005768;GO:0005886;GO:0101003
101F6	GO:0005783;GO:0005789;GO:0030659;GO:0031982
12LO	GO:0005737;GO:0005829;GO:0016020;GO:0042383;GO:0070062
15E1.1	GO:0005654;GO:0005739;GO:0005758;GO:0032991;GO:0005634
15E1.2	GO:0005739;GO:0030956
17HSD7	GO:0005789
199G4	GO:0005634;GO:0005654;GO:0005737;GO:0071007;GO:0071013;GO:0000974;GO:0071006
1A13B	GO:0005739;GO:0005776;GO:0005654;GO:0005758;GO:0005764;GO:0005770;GO:0005778;GO:0005829;GO:0016020;GO:0016604;GO:0031430;GO:0043231;GO:0043235;GO:0000407
1C7	GO:0005886
1R20	GO:0005829;GO:0005886;GO:0031234
1R21	GO:0005654;GO:0005737;GO:0005634
2-19	GO:0005575;GO:0005615
2.19	GO:0005575;GO:0005615
2B4	GO:0005886;GO:0009897
3'EXO	GO:0005634;GO:0005730;GO:0005737;GO:0071204
3BH	GO:0005730;GO:0005743;GO:0005758;GO:0005783;GO:0005789;GO:0030868;GO:0045171;GO:0043231;GO:0005737
3DL2	GO:0016020
3OST	GO:0005796
3OST1	GO:0005796
3OST2	GO:0000139;GO:0016020
3OST3A1	GO:0000139;GO:0016020
3OST3B1	GO:0000139;GO:0005886
3OST4	GO:0000139
3OST5	GO:0000139;GO:0016020
44M2.3	GO:0005730;GO:0070062;GO:0005634
4P11	GO:0005829
4SPAN1	GO:0005783;GO:0005794;GO:0005886;GO:0044853
4SPAN2	GO:0005802;GO:0005886
4SPAN3	GO:0005802;GO:0005886
4SPAN4	GO:0005886
54TM	GO:0005789;GO:0005793;GO:0005794;GO:0033116;GO:0043231;GO:0000139;GO:0030134
582J2.1	GO:0005615;GO:0005654;GO:0005886;GO:0034451;GO:0043235;GO:0009897
5HT3R	GO:0005886;GO:0032154;GO:0045211;GO:1904602;GO:0043005;GO:0045202
5MP1	GO:0005737;GO:0016020
5MP2	GO:0005737;GO:0016020
5PTASE	GO:0005886;GO:0016020;GO:0030425
5T4	GO:0005783;GO:0009986;GO:0030425;GO:0043679;GO:0005886
76P	GO:0000922;GO:0005813;GO:0005829;GO:0005874;GO:0015630;GO:0016020;GO:0055037;GO:0000931;GO:0000923;GO:0000930
8D6A	GO:0005783;GO:0005886;GO:0016020;GO:0005901
9804	GO:0005576;GO:0005886
99D8.1	GO:0005576;GO:0005829;GO:0005832;GO:0005874;GO:0035578;GO:0044297;GO:0070062;GO:0002199
A-152E5.1	GO:0005576;GO:0005615
A-152E5.2	GO:0005576;GO:0005886;GO:0009986;GO:0016020;GO:0042995;GO:0043005;GO:0043025;GO:0048471;GO:0005615
A-152E5.7	GO:0005634;GO:0005654;GO:0005829;GO:0005665
A14GALT	GO:0000139;GO:0016020
A15	GO:0005886
A18HNRNP	GO:0005634;GO:0005654;GO:0005737;GO:0010494;GO:0005681
A1BG	GO:0005576;GO:0005615;GO:0031093;GO:0034774;GO:0062023;GO:0070062;GO:0072562;GO:1904813;GO:0005886
A1CF	GO:0005634;GO:0005654;GO:0005737;GO:0005783;GO:0045293;GO:0030895
A1S9T	GO:0000792;GO:0005765;GO:0010008;GO:0030057;GO:0030867;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005829;GO:0070062
A26B3	GO:0005886
A26C1A	GO:0005615;GO:0070062;GO:0072562;GO:0035267;GO:0016020;GO:0045202;GO:0005737
A26C1B	GO:0005615;GO:0005938;GO:0070062;GO:0072562;GO:0005737;GO:0016020;GO:0045202;GO:0035267
A2BP	GO:0005737;GO:0005802;GO:0010494;GO:0097165;GO:0005634
A2BP1	GO:0005737;GO:0005802;GO:0010494;GO:0097165;GO:0005634
A2D	GO:0005829;GO:0010494;GO:0016020;GO:0016607
A2LD1	GO:0070062;GO:0005829
A2LG	GO:0005829;GO:0010494;GO:0016020;GO:0016607
A2LP	GO:0005829;GO:0010494;GO:0016020;GO:0016607
A2M	GO:0062023;GO:0005576;GO:0031093;GO:0070062;GO:0072562;GO:0005615
A2ML1	GO:0005615;GO:0070062
