Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
A0A024QZX5;A0A087X1N8;A0A2R8YD12;A0A2R8Y6A7;C9JTJ8;C9JVA8;H7BXK7;P50452-2;A0A1B0GU38	A0A024QZX5;A0A087X1N8;A0A2R8YD12;A0A2R8Y6A7	25;25;22;13;1;1;1;1;1	1;1;0;0;0;0;0;0;0	1;1;0;0;0;0;0;0;0	NA	SERPINB6	9	25	1	1
A0A024R161;Q9H1X3-3;P50151	A0A024R161;Q9H1X3-3;P50151	2;2;2	2;2;2	2;2;2	Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	hCG_1994888;GNG10	3	2	2	2
Q6I9Y2;A0A024R341;F8WF22	Q6I9Y2;A0A024R341;F8WF22	3;3;2	3;3;2	3;3;2	THO complex subunit 7 homolog	THOC7;NIF3L1BP1	3	3	3	3
A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7C2D1;C9JZI8;C9JHZ8;C9JES8;H7BZC3;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;H7C3D0;C9JMQ6;C9J739;C9JHS9	A0A024R4E5;Q00341;Q00341-2;H0Y394	79;78;70;56;26;20;18;14;14;12;12;11;11;7;7;6;6;6;5;4;4;1;1	79;78;70;56;26;20;18;14;14;12;12;11;11;7;7;6;6;6;5;4;4;1;1	79;78;70;56;26;20;18;14;14;12;12;11;11;7;7;6;6;6;5;4;4;1;1	Vigilin	HDLBP	23	79	79	79
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	22;22;15;15;5;5	22;22;15;15;5;5	22;22;15;15;5;5	40S ribosomal protein S9	RPS9	6	22	22	22
A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94;A0A1B0GVL0	A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94	3;3;3;3;2;2;2;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;2;2;2;1	Ceroid-lipofuscinosis neuronal protein 5	CLN5	13	3	3	3
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402	A0A024RA52;P25787;C9JCK5	16;16;9;2;1	16;16;9;2;1	16;16;9;2;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	5	16	16	16
A0A024RAC6;Q14241	A0A024RAC6;Q14241	11;10	11;10	11;10	Transcription elongation factor B polypeptide 3	TCEB3	2	11	11	11
G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK3;A0A0G2JLK6	G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK3;A0A0G2JLK6	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	Lysosomal thioesterase PPT2	PPT2;hCG_1999928	16	2	2	2
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2;F6VEM6;F6UR09;A0A0G2JJR8;F6U341;F6X9W3;A0A1B0GX79;F6WML8;F6XTU0;F6U1F2;H0Y710;F6TC96;H0Y4L1;A0A0G2JIB3;A0A0G2JIA9;A0A0G2JJ92;H0Y759;H0Y7K4	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2	34;34;34;34;34;31;31;29;18;18;17;11;11;11;11;11;10;10;10;10;9;8;7;1;1;1;1;1	34;34;34;34;34;31;31;29;18;18;17;11;11;11;11;11;10;10;10;10;9;8;7;1;1;1;1;1	34;34;34;34;34;31;31;29;18;18;17;11;11;11;11;11;10;10;10;10;9;8;7;1;1;1;1;1	Large proline-rich protein BAG6	BAG6;BAT3	28	34	34	34
