Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
A0A024QZP7;P06493;P06493-2;E5RIU6;A0A087WZZ9	A0A024QZP7;P06493;P06493-2;E5RIU6;A0A087WZZ9	12;12;9;8;8	12;12;9;8;8	11;11;9;7;7	Cyclin-dependent kinase 1	CDC2;CDK1	5	12	12	11
F8WF22;A0A024R341;Q6I9Y2	F8WF22;A0A024R341;Q6I9Y2	2;2;2	2;2;2	2;2;2	THO complex subunit 7 homolog	THOC7;NIF3L1BP1	3	2	2	2
A0A024R4E5;Q00341;Q00341-2;H0Y394;C9JIZ1;C9J5E5;H7C0A4;C9JZI8;C9JES8;C9JHS7;C9JHZ8;H7BZC3;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;H7C2D1;C9JQ82;C9JMQ6;C9J739;C9JHS9	A0A024R4E5;Q00341;Q00341-2;H0Y394	44;43;38;28;16;15;14;13;11;11;11;7;7;7;6;6;6;6;5;4;1;1	44;43;38;28;16;15;14;13;11;11;11;7;7;7;6;6;6;6;5;4;1;1	44;43;38;28;16;15;14;13;11;11;11;7;7;7;6;6;6;6;5;4;1;1	Vigilin	HDLBP	22	44	44	44
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	24;24;18;18;6;6	24;24;18;18;6;6	24;24;18;18;6;6	40S ribosomal protein S9	RPS9	6	24	24	24
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402	A0A024RA52;P25787	23;23;8;4;1	23;23;8;4;1	23;23;8;4;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	5	23	23	23
A0A024RAC6;Q14241	A0A024RAC6;Q14241	9;7	9;7	9;7	Transcription elongation factor B polypeptide 3	TCEB3	2	9	9	9
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2;F6WML8;F6U341;F6X9W3;F6VEM6;A0A1B0GX79;A0A0G2JJR8;H0Y710;F6XTU0;F6U1F2;F6UR09;H0Y4L1;F6TC96;A0A0G2JIA9;A0A0G2JIB3;A0A0G2JJ92;H0Y759;H0Y7K4	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4	18;18;18;18;18;15;15;14;7;7;6;4;4;4;4;4;4;4;4;4;4;3;2;1;1;1;1;1	18;18;18;18;18;15;15;14;7;7;6;4;4;4;4;4;4;4;4;4;4;3;2;1;1;1;1;1	18;18;18;18;18;15;15;14;7;7;6;4;4;4;4;4;4;4;4;4;4;3;2;1;1;1;1;1	Large proline-rich protein BAG6	BAG6;BAT3	28	18	18	18
M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2	M0R3B2;A0A075B6F9;Q9Y314;M0R1T7;M0QX85;M0R1K2	4;4;4;2;2;2	4;4;4;2;2;2	4;4;4;2;2;2	Nitric oxide synthase-interacting protein	NOSIP	6	4	4	4
Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;E9PIR7;Q16881-7;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PKI4;E9PLT3;E9PRI8;E9PQI3;A0A096LPK7;E9PJU2	Q16881;Q16881-3;Q16881-4;A0A087WSY9;A0A087WSW9;Q16881-6;Q16881-2;Q16881-5;A0A182DWI3;F8W809;E9PIR7;Q16881-7;E2QRB9	31;31;31;31;31;30;30;30;30;30;29;26;26;13;8;7;5;5;5;4;1;1	31;31;31;31;31;30;30;30;30;30;29;26;26;13;8;7;5;5;5;4;1;1	30;30;30;30;30;29;29;29;29;29;28;25;25;12;7;6;4;4;5;4;0;1	Thioredoxin reductase 1, cytoplasmic	TXNRD1	22	31	31	30
A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;K7ENB4;K7EJ20;R4GNE4	A0A087X2I2;A0A087WT12;P36969-2;P36969;K7ERP4;A0A0A0MTT1;K7EKX7;K7ENB4;K7EJ20	3;3;3;3;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;1	3;3;3;3;2;2;2;2;2;1	Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial	GPX4	10	3	3	3
I3L159;I3L1F5;A0A087WT44;P30519-2;P30519;I3L1Y2;I3L276;I3L4P8;A0A1B0GXH0;I3L463	I3L159;I3L1F5;A0A087WT44;P30519-2;P30519	3;3;3;3;3;1;1;1;1;1	3;3;3;3;3;1;1;1;1;1	3;3;3;3;3;1;1;1;1;1	Heme oxygenase 2	HMOX2	10	3	3	3
H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66	H0YCJ2;A0A0D9SF51;A0A0D9SG17;A0A1B0GWB6;A0A087WW73;A0A087WT80;Q9NQ66-2;Q9NQ66	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	2;2;2;2;2;2;2;2	Phosphoinositide phospholipase C;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1	PLCB1	8	2	2	2
A0A087WT99;Q9H0W9-3;Q9H0W9-2;Q9H0W9;Q9H0W9-4	A0A087WT99;Q9H0W9-3;Q9H0W9-2;Q9H0W9;Q9H0W9-4	2;2;2;2;1	1;1;1;1;1	1;1;1;1;1	Ester hydrolase C11orf54	C11orf54	5	2	1	1
A0A087WTJ2;Q8WWP7;Q96F15;Q96F15-2	A0A087WTJ2	3;1;1;1	3;1;1;1	3;1;1;1	NA	GIMAP1-GIMAP5	4	3	3	3
A0A087WTP3;Q92945;M0R0I5;M0QYH3;M0QXW7;M0QYG1;M0R0C6;M0R3J3;M0R251;M0R263	A0A087WTP3;Q92945	31;31;15;11;8;3;3;2;1;1	31;31;15;11;8;3;3;2;1;1	28;28;13;9;8;2;2;1;0;0	Far upstream element-binding protein 2	KHSRP	10	31	31	28
Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	Q5JWB9;A0A087WTT2;Q96A57;Q96A57-2	1;1;1;1	1;1;1;1	1;1;1;1	Transmembrane protein 230	TMEM230	4	1	1	1
A0A087X0S7;A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345	A0A087X0S7;A0A0C4DH00;A0A087WTU1;A0A0B4J2G4;Q15345-3;Q15345	3;3;3;3;3;3	3;3;3;3;3;3	3;3;3;3;3;3	Leucine-rich repeat-containing protein 41	LRRC41	6	3	3	3
A0A087WTV6;Q96C36;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0	A0A087WTV6;Q96C36;J3KR12;A0A087WZR9	12;12;7;6;2;2	11;11;6;5;2;2	11;11;6;5;2;2	Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase	PYCR2	6	12	11	11
A0A087WU06;A0A3B3ITE3;Q96CW5-3;Q96CW5-2;Q96CW5	A0A087WU06;A0A3B3ITE3;Q96CW5-3;Q96CW5-2;Q96CW5	4;4;4;4;4	4;4;4;4;4	4;4;4;4;4	Gamma-tubulin complex component 3	TUBGCP3	5	4	4	4
A0A087WUS4;A0A087WU27;A6NKB8;Q9H4A4;C9JMZ3	A0A087WUS4;A0A087WU27;A6NKB8;Q9H4A4;C9JMZ3	2;2;2;2;1	2;2;2;2;1	2;2;2;2;1	Aminopeptidase B	RNPEP	5	2	2	2
A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;P51790-2	A0A087WU31;A0A0A0MTB7;P51790-4;P51790-5;P51790;E9PE15;P51790-2	2;2;2;2;2;1;1	2;2;2;2;2;1;1	2;2;2;2;2;1;1	Chloride channel protein;H(+)/Cl(-) exchange transporter 3	CLCN3	7	2	2	2
A0A0A0MRA0;R9R4D9;A0A0A0MST1;A0A087WU46;Q13422-6;Q13422-5;Q13422-4;Q13422-3;Q13422-2;Q13422-7;Q13422	A0A0A0MRA0;R9R4D9;A0A0A0MST1;A0A087WU46;Q13422-6;Q13422-5;Q13422-4;Q13422-3;Q13422-2;Q13422-7;Q13422	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1	DNA-binding protein Ikaros	IKZF1	11	1	1	1
A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2	A0A0G2JMS5;A0A087WU62;A0A087X2D5;Q9BRJ2	12;12;12;12	12;12;12;12	12;12;12;12	39S ribosomal protein L45, mitochondrial	MRPL45	4	12	12	12
E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	E7ER32;A0A087X287;B0QY83;A0A087WU73;W0Z7M9;Q969V6	4;4;4;4;4;4	3;3;3;3;3;3	3;3;3;3;3;3	MKL/myocardin-like protein 1	MKL1;mkl1	6	4	3	3
A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	A0A087WUB9;Q8WYA6;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	20;20;18;14;14;4	20;20;18;14;14;4	20;20;18;14;14;4	Beta-catenin-like protein 1	CTNNBL1	6	20	20	20
A0A087WUI6;Q8WXW3;Q8WXW3-4	A0A087WUI6;Q8WXW3;Q8WXW3-4	3;3;2	3;3;2	3;3;2	Progesterone-induced-blocking factor 1	PIBF1	3	3	3	3
A0A087WUK2;O14979	A0A087WUK2;O14979	19;19	17;17	3;3	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	2	19	17	3
A0A087WUQ6;P07203;A0A2R8Y6B6;P07203-2	A0A087WUQ6;P07203;A0A2R8Y6B6	7;7;5;2	7;7;5;2	7;7;5;2	Glutathione peroxidase;Glutathione peroxidase 1	GPX1	4	7	7	7
