Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Number of proteins	Peptides	Razor + unique peptides	Unique peptides
Q9Y3E1;A0A024R216;H3BPM9	Q9Y3E1;A0A024R216	5;5;1	2;2;1	2;2;1	Hepatoma-derived growth factor-related protein 3	HDGFRP3	3	5	2	2
A0A024R442;E7ETB3;Q9ULA0;E7EMB6;C9JBE1;F8WAN0;B9ZVU2;E7EPX3;C9J1E2;E5RJ35;C9JRG3	A0A024R442;E7ETB3;Q9ULA0;E7EMB6;C9JBE1	17;17;17;14;11;8;7;6;4;3;3	17;17;17;14;11;8;7;6;4;3;3	17;17;17;14;11;8;7;6;4;3;3	Aspartyl aminopeptidase	DNPEP	11	17	17	17
A0A024R4E5;Q00341;Q00341-2;H0Y394;H7C0A4;C9JIZ1;H7C2D1;C9J5E5;H7BZC3;C9JZI8;C9JHZ8;C9JES8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9	A0A024R4E5;Q00341;Q00341-2;H0Y394	68;67;61;51;24;18;17;16;13;12;11;11;10;6;6;5;5;5;4;4;1;1	68;67;61;51;24;18;17;16;13;12;11;11;10;6;6;5;5;5;4;4;1;1	68;67;61;51;24;18;17;16;13;12;11;11;10;6;6;5;5;5;4;4;1;1	Vigilin	HDLBP	22	68	68	68
A0A024R4M0;P46781;B5MCT8;C9JM19;F2Z3C0;A8MXK4	A0A024R4M0;P46781;B5MCT8;C9JM19	13;13;10;10;3;3	13;13;10;10;3;3	13;13;10;10;3;3	40S ribosomal protein S9	RPS9	6	13	13	13
A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JDQ8;C9JIJ3;C9IZH1	A0A024R571;Q9H4M9;C9JC03;C9J2Z4	33;33;24;20;10;7;7	33;33;24;20;10;7;7	22;22;13;12;4;4;4	EH domain-containing protein 1	EHD1	7	33	33	22
A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94;A0A1B0GVL0;A0A1B0GU14	A0A1B0GWI2;A0A0A0MRU5;A0A024R644;O75503;A0A1B0GTI0;A0A087WZY0;A0A1B0GWJ7;A0A1C7CYZ2;A0A1B0GTR6;A0A1B0GTV7;A0A1B0GUE8;A0A1B0GV94	7;7;7;7;4;4;4;4;4;4;4;4;3;1	7;7;7;7;4;4;4;4;4;4;4;4;3;1	7;7;7;7;4;4;4;4;4;4;4;4;3;1	Ceroid-lipofuscinosis neuronal protein 5	CLN5	14	7	7	7
K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002	K7EN05;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4;P60002	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	Transcription elongation factor 1 homolog	ELOF1	6	1	1	1
A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739	A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739	10;10;10;10	8;8;8;8	5;5;5;5	YTH domain-containing family protein 3	YTHDF3	4	10	8	5
A0A024RA52;P25787;C9JCK5;H3BT36;H7C402	A0A024RA52;P25787;C9JCK5	14;14;7;2;1	14;14;7;2;1	14;14;7;2;1	Proteasome subunit alpha type;Proteasome subunit alpha type-2	PSMA2	5	14	14	14
A0A024RAC6;Q14241	A0A024RAC6;Q14241	6;5	6;5	6;5	Transcription elongation factor B polypeptide 3	TCEB3	2	6	6	6
G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK3;A0A0G2JLK6	G8JLL2;A0A0G2JK02;A0A0G2JIU6;A0A0G2JHB6;A0A0G2JKR3;A0A140T9Y1;A0A0G2JLL3;A0A0G2JLA3;A0A0G2JH76;A0A024RCQ8;A0A140T8X7;Q9UMR5-2;Q9UMR5;Q9UMR5-3;A0A0G2JLK3;A0A0G2JLK6	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1	Lysosomal thioesterase PPT2	PPT2;hCG_1999928	16	2	2	2
P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4;A0A0G2JJM1;X6REW1;F6S6P2;H0Y710;F6U341;F6WML8;F6VEM6;F6X9W3;A0A1B0GX79;A0A0G2JJR8;F6XTU0;F6U1F2;F6UR09;H0Y4L1;F6TC96	P46379-3;P46379;P46379-2;A0A0G2JK23;A0A024RCR6;P46379-5;A0A0G2JL47;P46379-4	27;27;27;27;27;24;24;21;12;12;12;7;5;5;5;5;5;4;4;4;4;4;3	27;27;27;27;27;24;24;21;12;12;12;7;5;5;5;5;5;4;4;4;4;4;3	27;27;27;27;27;24;24;21;12;12;12;7;5;5;5;5;5;4;4;4;4;4;3	Large proline-rich protein BAG6	BAG6;BAT3	23	27	27	27
A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49;H7C0E8	A0A067XG54;Q8NB49-2;Q8NB49-3;Q8NB49-4;Q8NB49	11;11;11;11;11;1	11;11;11;11;11;1	11;11;11;11;11;1	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG	ATP11C	6	11	11	11
E7EWF5;A0A075B6E4;A0A0A6YYI5;G5E9M7;Q14135-2;Q14135;Q14135-4;E7EQU6;G5E9M9;Q14135-5;Q14135-6;E7ERW0;E7EUJ2;F8WBN7;F8W708	E7EWF5;A0A075B6E4;A0A0A6YYI5;G5E9M7;Q14135-2;Q14135;Q14135-4;E7EQU6;G5E9M9;Q14135-5;Q14135-6;E7ERW0	4;4;4;4;4;4;4;3;3;3;3;2;1;1;1	4;4;4;4;4;4;4;3;3;3;3;2;1;1;1	4;4;4;4;4;4;4;3;3;3;3;2;1;1;1	Transcription cofactor vestigial-like protein 4	VGLL4	15	4	4	4
P11532;P11532-2;A0A087WTU7;E9PDN5;A0A087WV90;P11532-3;A0A075B6G3;P11532-4;P11532-5;P11532-6;P11532-10;F5GZY3;E7EQR9;F8VX32;E7EQS5;E7ESB2;H0Y304;P11532-7;P11532-8;P11532-9;H0Y3E8	P11532;P11532-2;A0A087WTU7;E9PDN5;A0A087WV90;P11532-3;A0A075B6G3;P11532-4;P11532-5;P11532-6;P11532-10;F5GZY3;E7EQR9;F8VX32;E7EQS5;E7ESB2;H0Y304;P11532-7;P11532-8;P11532-9;H0Y3E8	4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2	4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2	4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2	Dystrophin	DMD	21	4	4	4
A0A075B6Q2;S4R347;Q5T0N5-3;Q5T0N5-4;Q5T0N5-2;Q5T0N5-5;Q5T0N5	A0A075B6Q2;S4R347;Q5T0N5-3;Q5T0N5-4;Q5T0N5-2;Q5T0N5-5;Q5T0N5	6;6;6;6;6;6;6	6;6;6;6;6;6;6	6;6;6;6;6;6;6	Formin-binding protein 1-like	FNBP1L	7	6	6	6
E9PJ66;E9PJY1;E9PM58;E9PL18;E9PQ38;A0A075B6T4;Q9NVX7;Q9NVX7-2	E9PJ66;E9PJY1;E9PM58;E9PL18;E9PQ38;A0A075B6T4;Q9NVX7;Q9NVX7-2	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1	Kelch repeat and BTB domain-containing protein 4	KBTBD4	8	1	1	1
A0A075B7D9;Q92804-2;Q92804;A0A075B7F4	A0A075B7D9;Q92804-2;Q92804	6;6;6;1	4;4;4;1	4;4;4;1	TATA-binding protein-associated factor 2N	TAF15	4	6	4	4
